region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,pnGEq5TLuSE,Your Most Hated Friend rolling_on_the_floor_laughingrolling_on_the_floor_laughing @NutshellAnimations,2024-06-09,2177367,125456,2061,JReezy
US,1,mTEBZCq3Xk0,Why was she locked up?hushed_face,2024-06-12,972038,105487,391,Pocket Movies
US,1,epGp34PvZ1c,My ocs before the main plot |,2024-06-10,3004768,439736,2307,Andru
US,1,1cOIrmJUNXo,Ditching School backpackbooks (Pixar Edition),2024-06-11,3316406,92748,1152,Narrabyte
US,1,ox-NFZsuBmc,"Trump Still Has Gun Despite Felony Charges, Jimmy Talks to His A.I. Clone & Fans Betray The Celtics",2024-06-13,1710049,41220,2074,Jimmy Kimmel Live
US,1,N4Qp-QrqvcQ,Sukuna… THAT’S OFFENSIVE!fearful_faceskull | Jujutsu Kaisen Abridged,2024-06-09,3785523,360756,2109,The Anime Boiis
US,1,wlJqVX0iOVw,'I knew you drank cleaning supplies' ITS ALWAYS SUNNY IN PHILADELPHIA,2024-06-07,2042842,131931,517,It's Always Funny in Philly
US,1,TC8uJ6QJZyM,What You Wish Siri Could Do Part 15 face_with_tears_of_joy,2024-06-10,2009609,74300,345,Shane Nagy
US,1,HMYjj3V3r2Q,Netflix went Too Far!,2024-06-08,2963492,373512,2362,Microfaun
US,1,OwyYykTdPXU,The guys You didn't Count on,2024-06-05,4308102,374616,472,Fans Movie Recap
US,1,C5GU4uW6YtQ,Mi jefe cambia muy rápido de opinión,2024-06-11,2714687,159726,0,Videocine
US,1,GUz9LVirFnY,He just wanted 3 more nuggets.. flushed_face,2024-06-03,9305004,745352,2591,xunmasked
US,1,gvGmj44tLH0,Robotnik doesn't get this eating money trend face_with_tears_of_joy,2024-06-11,1023981,125553,1593,mashed
US,1,puwJBoXStK4,Why is Squidward always like this! face_with_spiral_eyespleading_face,2024-06-05,4550791,51847,113,We Wear Cute
US,1,_wxHFubKUX4,Friend who is good at EVERYTHING! Part 4,2024-06-11,1105694,100226,678,Deanobballin
US,1,6Stf-CUndUg,INCREÍBLE @Layaraoficial,2024-06-05,15441213,270075,181,Santi Oficial
US,1,La7onBQgeBQ,Find a mermaid costume,2024-06-12,2445327,67951,698,SAPUTRA
US,1,8oy_4HcOAn0,"In old cartoons, you could not expect what happens next",2024-06-02,8289093,338289,288,MerryMemes
US,1,UGyY4DcWxPE,BECOMING YOUR PARENTS @bertkreischer,2024-06-13,661613,58186,142,DJ Hunts
US,1,siIWIJ1SJfc,Angry Granny v Bobby Lee,2024-06-07,2412284,99822,1265,Bad Friends
US,1,mOONexr_MxM,Chris Hemsworth does his 'sexiest' Australian accent for Anya Taylor-Joy grinning_squinting_face,2024-06-05,4768670,184949,864,LADbible TV
US,1,l0IvEUPOjV8,I live to post this joke once a year,2024-06-16,333425,37193,198,Taylor Tomlinson
US,1,IydrG5NemeI,"Ducklings can engage in cannibalistic behaviors due to boredom, overcrowding, or poor ventilation.",2024-06-06,4308661,512476,2086,Natural Habitat Shorts
US,1,rktvKk_BqzE,Del Revés 2 (Inside Out 2) | Una foto no puede capturar emociones La foto en cuestión:,2024-06-05,4101611,120614,353,Disney España
US,1,JoZoZV96muw,When The Blonde Wants To Buy a TV face_with_tears_of_joy,2024-06-05,2319543,118289,1235,Potato Epic
US,1,ghr9sNKOQ3U,Cops in the 1920s,2024-06-09,1513396,150545,1124,kylegordonisgreat
US,1,9LGu-7qZ9x0,NEW DOCTOR face_screaming_in_fearface_with_tears_of_joy JIMMY CARR,2024-06-16,678618,35852,111,Stand up Geniuses
US,1,yGIU8GTcgFg,When your parents make you share the game with your sibling 9,2024-06-16,445750,43489,94,Greg Renko
US,1,55muo9hxnJE,We interrupt our regularly scheduled Chikn canon! Check out animlab's new show @MagicAndStuffShow,2024-06-14,831691,120470,2868,Chikn Nuggit
US,1,0D6VkRRAdxM,1vs1 Try not to Laugh red_exclamation_mark | 238,2024-06-08,17428094,817655,916,Panda Shorts
US,1,uRt-trGXm9o,Who's a good boy?,2024-06-05,4726972,471811,648,Roamer Movie
US,1,ax9j31EAJHU,Central Cee vs Lil Baby face_with_tears_of_joy,2024-06-16,344478,12660,121,Backbench Animations
US,1,yofjGi6LOVc,The Acolyte Episode 3 - I'm Done And So Is Star Wars,2024-06-13,2721621,177353,29146,The Critical Drinker
US,1,HVefrRIkp7Y,Will Spongebob Escape The Warden?!,2024-06-16,707678,40998,293,SPONGE
US,1,3nCWEtSO2n0,Brandon Rogers Spills Helluva Boss Voice Acting Secrets!,2024-06-12,779840,129232,245,Lightweights Podcast with Joe Vulpis
US,1,1SnAdGApg9E,"The Fall of Gotham’s  Nightmare Generation,the Awakening of a New Nightmare.",2024-06-01,8913216,589098,2912,Diego Sofia
US,1,NYDQOzjVbEY,Mitsuri showed Tanjiro how Flexibility Traning is done,2024-06-10,3204547,258486,1424,GOD_HINATA
